Genre_ID,Genre
1,Rock
2,"Rock, Pop"
3,Funk / Soul
4,"Rock, Blues"
5,Jazz
6,"Jazz, Rock, Blues, Folk, World, & Country"
7,"Funk / Soul, Pop"
8,Blues
9,Pop
10,"Rock, Folk, World, & Country"
11,"Folk, World, & Country"
12,"Classical, Stage & Screen"
13,Reggae
14,Hip Hop
15,"Jazz, Funk / Soul"
16,"Rock, Funk / Soul, Pop"
17,"Electronic, Rock"
18,"Jazz, Rock, Funk / Soul, Folk, World, & Country"
19,"Jazz, Rock, Funk / Soul, Pop, Folk, World, & Country"
20,"Funk / Soul, Stage & Screen"
21,"Electronic, Rock, Funk / Soul, Stage & Screen"
22,"Rock, Funk / Soul"
23,"Rock, Reggae"
24,"Jazz, Pop"
25,"Funk / Soul, Folk, World, & Country"
26,"Latin, Funk / Soul"
27,"Funk / Soul, Blues"
28,"Reggae,ÊPop,ÊFolk, World, & Country,ÊStage & Screen"
29,"Electronic,ÊStage & Screen"
30,"Jazz, Rock, Funk / Soul, Blues"
31,"Jazz, Rock"
32,"Rock, Latin, Funk / Soul"
33,"Electronic, Rock, Pop"
34,"Hip Hop, Rock, Funk / Soul"
35,"Electronic, Pop"
36,"Rock, Blues, Pop"
37,"Electronic, Rock, Funk / Soul, Pop"
38,"Rock, Funk / Soul, Folk, World, & Country"
39,"Rock,ÊBlues"
40,"Rock, Pop, Folk, World, & Country"
41,"Rock, Latin"
42,"Rock, Stage & Screen"
43,"Rock, Blues, Folk, World, & Country"
44,Electronic
45,"Electronic, Funk / Soul, Pop"
46,"Pop, Folk, World, & Country"
47,"Electronic, Hip Hop, Pop"
48,"Blues, Folk, World, & Country"
49,"Electronic, Hip Hop, Funk / Soul, Pop"
50,"Rock, Funk / Soul, Blues, Pop, Folk, World, & Country"
51,"Jazz, Pop, Folk, World, & Country"
52,"Jazz, Rock, Pop"
53,"Hip Hop, Funk / Soul"
54,"Hip Hop, Rock"
55,"Electronic, Hip Hop, Funk / Soul"
56,"Funk / Soul,ÊFolk, World, & Country"
57,"Electronic, Hip Hop, Reggae, Pop"
58,"Electronic, Reggae"
59,"Electronic, Funk / Soul"
60,"Rock, Funk / Soul, Blues"
61,"Rock,ÊPop"
62,"Electronic, Rock, Funk / Soul, Blues, Pop"
63,"Rock, Reggae, Latin"
